Year,LocationAbbr,LocationDesc,Question,DataValue,StratificationCategory1,Stratification1,GeoLocation
2015,AR,Arkansas,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,70.3,Overall,Overall,"(34.74865012400045, -92.27449074299966)"
2015,AR,Arkansas,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,69.7,Gender,Female,"(34.74865012400045, -92.27449074299966)"
2013,AR,Arkansas,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,68.9,Gender,Male,"(34.74865012400045, -92.27449074299966)"
2011,AR,Arkansas,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.4,Overall,Overall,"(34.74865012400045, -92.27449074299966)"
2013,AR,Arkansas,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66.4,Overall,Overall,"(34.74865012400045, -92.27449074299966)"
2013,AR,Arkansas,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.5,Gender,Female,"(34.74865012400045, -92.27449074299966)"
2011,AR,Arkansas,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.1,Gender,Female,"(34.74865012400045, -92.27449074299966)"
2011,CA,California,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71,Gender,Male,"(37.63864012300047, -120.99999953799971)"
2011,CA,California,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.6,Overall,Overall,"(37.63864012300047, -120.99999953799971)"
2011,CA,California,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.3,Gender,Female,"(37.63864012300047, -120.99999953799971)"
2013,CA,California,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.1,Gender,Male,"(37.63864012300047, -120.99999953799971)"
2015,CA,California,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.6,Gender,Female,"(37.63864012300047, -120.99999953799971)"
2013,CA,California,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.6,Overall,Overall,"(37.63864012300047, -120.99999953799971)"
2013,CA,California,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,69.5,Gender,Male,"(37.63864012300047, -120.99999953799971)"
2013,CA,California,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.2,Gender,Female,"(37.63864012300047, -120.99999953799971)"
2013,CA,California,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,68.2,Overall,Overall,"(37.63864012300047, -120.99999953799971)"
2011,CA,California,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.5,Gender,Female,"(37.63864012300047, -120.99999953799971)"
2013,CA,California,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66.9,Gender,Female,"(37.63864012300047, -120.99999953799971)"
2015,CA,California,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,66.6,Overall,Overall,"(37.63864012300047, -120.99999953799971)"
2015,CA,California,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.4,Gender,Female,"(37.63864012300047, -120.99999953799971)"
2011,CA,California,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.5,Overall,Overall,"(37.63864012300047, -120.99999953799971)"
2015,CA,California,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,64,Gender,Male,"(37.63864012300047, -120.99999953799971)"
2015,CA,California,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,62.3,Overall,Overall,"(37.63864012300047, -120.99999953799971)"
2011,CA,California,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,61.6,Gender,Male,"(37.63864012300047, -120.99999953799971)"
2015,CA,California,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,59.5,Gender,Male,"(37.63864012300047, -120.99999953799971)"
2013,CO,Colorado,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.4,Gender,Female,"(38.843840757000464, -106.13361092099967)"
2013,CO,Colorado,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70,Overall,Overall,"(38.843840757000464, -106.13361092099967)"
2013,CO,Colorado,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.7,Gender,Male,"(38.843840757000464, -106.13361092099967)"
2015,CO,Colorado,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,68.9,Gender,Female,"(38.843840757000464, -106.13361092099967)"
2011,CO,Colorado,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,67.2,Gender,Female,"(38.843840757000464, -106.13361092099967)"
2011,CO,Colorado,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.9,Gender,Female,"(38.843840757000464, -106.13361092099967)"
2015,CO,Colorado,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,65.7,Overall,Overall,"(38.843840757000464, -106.13361092099967)"
2011,CO,Colorado,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,65.1,Overall,Overall,"(38.843840757000464, -106.13361092099967)"
2013,CO,Colorado,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.9,Gender,Male,"(38.843840757000464, -106.13361092099967)"
2015,CO,Colorado,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.3,Gender,Female,"(38.843840757000464, -106.13361092099967)"
2013,CO,Colorado,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.6,Overall,Overall,"(38.843840757000464, -106.13361092099967)"
2011,CO,Colorado,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,63.4,Gender,Male,"(38.843840757000464, -106.13361092099967)"
2015,CO,Colorado,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,63.2,Gender,Male,"(38.843840757000464, -106.13361092099967)"
2011,CO,Colorado,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.1,Overall,Overall,"(38.843840757000464, -106.13361092099967)"
2013,CO,Colorado,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,62.2,Gender,Female,"(38.843840757000464, -106.13361092099967)"
2015,CO,Colorado,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,61.8,Overall,Overall,"(38.843840757000464, -106.13361092099967)"
2011,CO,Colorado,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,60.6,Gender,Male,"(38.843840757000464, -106.13361092099967)"
2015,CO,Colorado,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,59.7,Gender,Male,"(38.843840757000464, -106.13361092099967)"
2015,CT,Connecticut,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,77.1,Gender,Female,"(41.56266102000046, -72.64984095199964)"
2015,CT,Connecticut,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,75.3,Overall,Overall,"(41.56266102000046, -72.64984095199964)"
2015,CT,Connecticut,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,73.8,Gender,Male,"(41.56266102000046, -72.64984095199964)"
2011,CT,Connecticut,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,72.6,Gender,Female,"(41.56266102000046, -72.64984095199964)"
2013,CT,Connecticut,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71.8,Gender,Male,"(41.56266102000046, -72.64984095199964)"
2013,CT,Connecticut,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71.2,Overall,Overall,"(41.56266102000046, -72.64984095199964)"
2011,CT,Connecticut,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.9,Overall,Overall,"(41.56266102000046, -72.64984095199964)"
2013,CT,Connecticut,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.6,Gender,Female,"(41.56266102000046, -72.64984095199964)"
2011,CT,Connecticut,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.3,Gender,Male,"(41.56266102000046, -72.64984095199964)"
2015,CT,Connecticut,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,68.3,Gender,Female,"(41.56266102000046, -72.64984095199964)"
2013,CT,Connecticut,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.4,Gender,Female,"(41.56266102000046, -72.64984095199964)"
2015,CT,Connecticut,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.3,Overall,Overall,"(41.56266102000046, -72.64984095199964)"
2015,CT,Connecticut,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66.5,Gender,Male,"(41.56266102000046, -72.64984095199964)"
2013,CT,Connecticut,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.2,Overall,Overall,"(41.56266102000046, -72.64984095199964)"
2011,CT,Connecticut,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.3,Gender,Female,"(41.56266102000046, -72.64984095199964)"
2011,CT,Connecticut,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.6,Overall,Overall,"(41.56266102000046, -72.64984095199964)"
2013,CT,Connecticut,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.3,Gender,Male,"(41.56266102000046, -72.64984095199964)"
2011,CT,Connecticut,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,62.9,Gender,Male,"(41.56266102000046, -72.64984095199964)"
2011,DE,Delaware,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,76.7,Gender,Female,"(39.008830667000495, -75.57774116799965)"
2013,DE,Delaware,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,75.1,Gender,Female,"(39.008830667000495, -75.57774116799965)"
2011,DE,Delaware,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,74.9,Overall,Overall,"(39.008830667000495, -75.57774116799965)"
2015,DE,Delaware,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,74.7,Gender,Female,"(39.008830667000495, -75.57774116799965)"
2013,DE,Delaware,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,73.2,Overall,Overall,"(39.008830667000495, -75.57774116799965)"
2015,DE,Delaware,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,73,Overall,Overall,"(39.008830667000495, -75.57774116799965)"
2011,DE,Delaware,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,72.9,Gender,Male,"(39.008830667000495, -75.57774116799965)"
2015,DE,Delaware,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71.3,Gender,Male,"(39.008830667000495, -75.57774116799965)"
2013,DE,Delaware,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71.1,Gender,Male,"(39.008830667000495, -75.57774116799965)"
2013,DE,Delaware,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,68.8,Gender,Male,"(39.008830667000495, -75.57774116799965)"
2015,DE,Delaware,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,68.2,Gender,Male,"(39.008830667000495, -75.57774116799965)"
2011,DE,Delaware,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.9,Gender,Male,"(39.008830667000495, -75.57774116799965)"
2013,DE,Delaware,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.9,Overall,Overall,"(39.008830667000495, -75.57774116799965)"
2013,DE,Delaware,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67,Gender,Female,"(39.008830667000495, -75.57774116799965)"
2011,DE,Delaware,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66.7,Overall,Overall,"(39.008830667000495, -75.57774116799965)"
2015,DE,Delaware,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.8,Overall,Overall,"(39.008830667000495, -75.57774116799965)"
2011,DE,Delaware,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.5,Gender,Female,"(39.008830667000495, -75.57774116799965)"
2015,DE,Delaware,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.4,Gender,Female,"(39.008830667000495, -75.57774116799965)"
2013,DC,District of Columbia,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,82.8,Gender,Female,"(38.907192, -77.036871)"
2015,DC,District of Columbia,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,80.3,Gender,Female,"(38.907192, -77.036871)"
2011,DC,District of Columbia,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,78.1,Gender,Female,"(38.907192, -77.036871)"
2013,DC,District of Columbia,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,75.8,Overall,Overall,"(38.907192, -77.036871)"
2015,DC,District of Columbia,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,75.6,Overall,Overall,"(38.907192, -77.036871)"
2011,DC,District of Columbia,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,74.1,Overall,Overall,"(38.907192, -77.036871)"
2013,DC,District of Columbia,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,71.1,Gender,Male,"(38.907192, -77.036871)"
2013,DC,District of Columbia,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,71,Overall,Overall,"(38.907192, -77.036871)"
2013,DC,District of Columbia,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,70.9,Gender,Female,"(38.907192, -77.036871)"
2015,DC,District of Columbia,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.7,Gender,Male,"(38.907192, -77.036871)"
2011,DC,District of Columbia,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,69.6,Gender,Male,"(38.907192, -77.036871)"
2015,DC,District of Columbia,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66.9,Gender,Female,"(38.907192, -77.036871)"
2013,DC,District of Columbia,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,66.2,Gender,Male,"(38.907192, -77.036871)"
2015,DC,District of Columbia,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.9,Overall,Overall,"(38.907192, -77.036871)"
2015,DC,District of Columbia,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.7,Gender,Male,"(38.907192, -77.036871)"
2011,DC,District of Columbia,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,59.1,Gender,Female,"(38.907192, -77.036871)"
2011,DC,District of Columbia,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,57.9,Overall,Overall,"(38.907192, -77.036871)"
2011,DC,District of Columbia,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,56.3,Gender,Male,"(38.907192, -77.036871)"
2013,FL,Florida,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,76.9,Gender,Male,"(28.932040377000476, -81.92896053899966)"
2015,FL,Florida,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,76.2,Gender,Male,"(28.932040377000476, -81.92896053899966)"
2011,FL,Florida,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,75.9,Gender,Female,"(28.932040377000476, -81.92896053899966)"
2011,FL,Florida,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,75.3,Overall,Overall,"(28.932040377000476, -81.92896053899966)"
2015,FL,Florida,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,74.9,Overall,Overall,"(28.932040377000476, -81.92896053899966)"
2013,FL,Florida,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,74.8,Overall,Overall,"(28.932040377000476, -81.92896053899966)"
2011,FL,Florida,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,74.7,Gender,Male,"(28.932040377000476, -81.92896053899966)"
2015,FL,Florida,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,73.6,Gender,Female,"(28.932040377000476, -81.92896053899966)"
2013,FL,Florida,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,72.5,Gender,Female,"(28.932040377000476, -81.92896053899966)"
2011,FL,Florida,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,71,Gender,Male,"(28.932040377000476, -81.92896053899966)"
2011,FL,Florida,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,70.4,Overall,Overall,"(28.932040377000476, -81.92896053899966)"
2011,FL,Florida,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,69.8,Gender,Female,"(28.932040377000476, -81.92896053899966)"
2013,FL,Florida,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66,Gender,Female,"(28.932040377000476, -81.92896053899966)"
2013,FL,Florida,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.9,Overall,Overall,"(28.932040377000476, -81.92896053899966)"
2013,FL,Florida,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.8,Gender,Male,"(28.932040377000476, -81.92896053899966)"
2015,FL,Florida,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.2,Gender,Male,"(28.932040377000476, -81.92896053899966)"
2015,FL,Florida,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.9,Overall,Overall,"(28.932040377000476, -81.92896053899966)"
2015,FL,Florida,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,62.7,Gender,Female,"(28.932040377000476, -81.92896053899966)"
2015,GA,Georgia,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,81.3,Gender,Female,"(32.83968109300048, -83.62758034599966)"
